name,location,price,rating
Hotel Monastère Maastricht,"Boschstraatkwartier, Maastricht",72,"8,0"
KABOOM Maastricht,"Wyck, Maastricht",75,"7,9"
Mabi City Centre Hotel,"Boschstraatkwartier, Maastricht",83,"8,1"
Townhouse Design Hotel & Spa,"Wyck, Maastricht",87,"7,9"
The Green Elephant Hostel & Spa,"Wyck, Maastricht",47,"8,1"
Buitenplaats Vaeshartelt,Maastricht,89,"8,2"
Bastion Hotel Maastricht Centrum,"Boschstraatkwartier, Maastricht",71,"7,0"
The Social Hub Maastricht,"Boschstraatkwartier, Maastricht",83,"8,3"
Maison Haas Hustinx & Spa,"Centrum Maastricht, Maastricht",135,"8,8"
NH Maastricht,"Randwijck, Maastricht",132,"7,7"
Townhouse Apartments Maastricht,"Wyck, Maastricht",87,"8,1"
Hotel Van der Valk Maastricht,Maastricht,155,"8,4"
Zenden Hotel Maastricht,"Centrum Maastricht, Maastricht",80,"8,2"
Designhotel Maastricht,"Wyck, Maastricht",96,"8,0"
Select Hotel Maastricht,"Witte Vrouwenveld, Maastricht",84,"7,9"
Crowne Plaza Maastricht,"Wyck, Maastricht",131,"7,5"
Alex Maastricht,"Wyck, Maastricht",82,"8,5"
Novotel Maastricht,Maastricht,101,"7,7"
easyHotel Maastricht City Centre,"Centrum Maastricht, Maastricht",68,"7,8"
"Fitz Roy Urban Hotel, Bar and Garden","Boschstraatkwartier, Maastricht",140,"8,5"
Boutique Hotel Grote Gracht,"Statenkwartier, Maastricht",87,"7,4"
Stayokay Hostel Maastricht,"Jekerkwartier, Maastricht",93,"8,2"
Amrâth Hotel DuCasque,"Centrum Maastricht, Maastricht",92,"7,5"
Urban Residences Maastricht,"Centrum Maastricht, Maastricht",141,"8,6"
Botel Maastricht,"Jekerkwartier, Maastricht",57,"7,2"
